BreachDate,PwnCount,,,,
6/5/2020,4418182,,,,
20/12/2020,2660295,,,,
6/1/2020,3512952,,,,
1/1/2016,879703,,,,
8/10/2016,58843488,,,,
1/1/2009,4483605,,,,
7/9/2017,762874,,,,
10/10/2018,2467304,,,,
17/6/2018,606637,,,,
22/10/2015,3122898,,,,
5/12/2016,366140,,,,
14/5/2015,699793,,,,
17/2/2014,37784,,,,
24/6/2016,149830,,,,
18/2/2015,972629,,,,
1/2/2018,143606147,,,,
26/10/2017,91991358,,,,
6/7/2015,252751,,,,
1/7/2008,359420698,,,,
15/8/2015,19863,,,,
1/1/2020,1121484,,,,
21/10/2015,287071,,,,
14/3/2016,1398630,,,,
4/9/2016,3472916,,,,
5/5/2013,26892897,,,,
19/10/2015,234842089,,,,
17/5/2010,3619948,,,,
21/12/2020,1436435,,,,
1/11/2012,49038354,,,,
1/9/2016,33698126,,,,
7/12/2017,499836,,,,
22/4/2014,1194597,,,,
22/7/2013,5915013,,,,
1/12/2015,1697282,,,,
28/9/2020,77159696,,,,
29/2/2016,1535473,,,,
21/5/2013,75383,,,,
21/6/2020,51730831,,,,
20/5/2020,43491,,,,
6/5/2016,599080,,,,
12/2/2021,10585,,,,
23/2/2022,71335,,,,
26/12/2018,161143,,,,
2/4/2020,263189,,,,
11/4/2021,348302,,,,
28/8/2017,711477622,,,,
1/1/2016,800157,,,,
28/11/2017,512311,,,,
1/8/2021,6783158,,,,
29/6/2020,1304447,,,,
7/5/2019,41960,,,,
1/5/2015,452899,,,,
1/8/2013,880331,,,,
20/1/2021,1834006,,,,
25/10/2010,590954,,,,
22/5/2021,188089,,,,
21/3/2021,20949825,,,,
1/10/2015,2330382,,,,
15/12/2016,400260,,,,
27/3/2022,1580249,,,,
30/8/2020,3395101,,,,
20/1/2019,4227907,,,,
2/4/2018,110964206,,,,
16/12/2020,358822,,,,
9/12/2017,990919,,,,
8/4/2021,5223350,,,,
27/10/2015,173891,,,,
4/12/2013,38108,,,,
7/10/2020,1906808,,,,
7/12/2017,41817893,,,,
1/7/2019,62261,,,,
14/1/2023,240488,,,,
19/10/2020,50538,,,,
2/7/2015,327314,,,,
12/10/2018,3225080,,,,
28/7/2015,657001,,,,
8/8/2014,116465,,,,
1/10/2016,830155,,,,
1/7/2014,709926,,,,
16/5/2018,36395491,,,,
1/9/2014,503501,,,,
19/8/2016,492518,,,,
25/5/2020,236105,,,,
26/6/2020,444453,,,,
1/12/2015,707432,,,,
22/6/2020,14610585,,,,
3/8/2019,1277761,,,,
30/1/2018,2156921,,,,
4/10/2021,49591,,,,
1/7/2015,447410,,,,
25/9/2015,1274070,,,,
1/2/2015,341118,,,,
1/7/2015,88678,,,,
1/6/2011,26183992,,,,
18/3/2014,48592,,,,
21/5/2022,22229637,,,,
1/7/2019,3805863,,,,
14/12/2015,4907802,,,,
1/1/2017,1023466,,,,
1/11/2015,22281337,,,,
1/3/2014,91436280,,,,
19/11/2016,7445067,,,,
31/1/2021,938981,,,,
6/8/2018,149958,,,,
1/5/2019,22424472,,,,
6/9/2016,307768,,,,
4/9/2020,5890277,,,,
5/12/2021,441657,,,,
20/5/2016,104977,,,,
11/5/2017,616146,,,,
11/9/2021,72596,,,,
23/2/2017,71153,,,,
1/1/2014,7040725,,,,
1/1/2017,393430309,,,,
3/11/2021,5003937,,,,
26/12/2018,3994436,,,,
1/6/2018,19531820,,,,
9/5/2016,107303,,,,
1/1/2019,420873,,,,
1/1/2017,182717,,,,
18/9/2018,2457420,,,,
14/4/2015,32939105,,,,
22/6/2020,5814988,,,,
12/7/2015,281924,,,,
9/1/2017,780073,,,,
1/1/2016,73587,,,,
9/7/2016,2021984,,,,
9/7/2018,40960499,,,,
1/6/2018,39086762,,,,
8/8/2022,23817,,,,
11/8/2020,73944,,,,
17/9/2020,20529819,,,,
26/6/2021,505466,,,,
9/5/2016,1052753,,,,
23/4/2021,90655,,,,
20/6/2020,1021790,,,,
19/2/2016,117070,,,,
16/2/2020,857611,,,,
6/4/2021,1464271,,,,
10/9/2017,386489,,,,
14/3/2015,1410899,,,,
1/1/2014,4609615,,,,
13/6/2019,89392,,,,
3/11/2018,14609,,,,
30/12/2019,751700,,,,
2/6/2011,37103,,,,
16/7/2015,130705,,,,
7/10/2015,30741620,,,,
22/2/2014,55622,,,,
16/8/2018,44109,,,,
11/3/2016,26815,,,,
26/2/2015,139395,,,,
1/6/2021,7455386,,,,
10/10/2019,2192857,,,,
9/3/2017,1619544,,,,
26/7/2019,6840339,,,,
7/8/2015,1047200,,,,
14/2/2020,48580249,,,,
24/12/2011,859777,,,,
28/6/2016,988230,,,,
5/11/2021,10001355,,,,
4/7/2018,5187305,,,,
